material_id,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd
P478239,Vinopure Purifying Clay Mask,Caudalie,Skincare,Masks,42.0,4.6319,18954,144.0,15.96
P448200,Benefiance Wrinkle Smoothing Cream,Shiseido,Skincare,Moisturizers,75.0,4.6037,6215,164.0,28.5
P444990,Blend It Multi-Purpose Self-Tan Blender,Isle of Paradise,Skincare,Self Tanners,22.0,2.3846,5294,26.0,8.36
P397465,Strawberry Lip Balm,Rosebud Perfume Co.,Skincare,Lip Balms & Treatments,8.0,4.1518,13002,112.0,3.04
P482755,Claydate Detoxifying & Toning Face Mask Stick,TULA Skincare,Skincare,Masks,36.0,4.3333,1460,36.0,13.68
P501751,Absolue Rose 80 Brightening Toner with Salicylic Acid,Lancôme,Skincare,Cleansers,120.0,,1139,,45.6
P471046,Turmeric Glow Brightening Moisturizer,KORA Organics,Skincare,Moisturizers,62.0,4.4985,17005,1017.0,23.56
P471009,Vinoperfect Brightening Glycolic Peel Mask,Caudalie,Skincare,Masks,42.0,4.5365,19999,192.0,15.96
P379995,Perfectionist CP+R Wrinkle Lifting/Firming Serum,Estée Lauder,Skincare,Treatments,120.0,4.2234,14820,94.0,45.6
P294018,Cleansing Spa Water Cloths,Koh Gen Do,Skincare,Cleansers,23.0,4.4789,23197,284.0,8.74
P387261,Pumpkin Enzyme Mask Enzymatic Dermal Resurfacer,Peter Thomas Roth,Skincare,Masks,60.0,4.6611,55129,720.0,22.8
P471101,Resurface+ AHA/BHA Niacinamide Exfoliating Pads for Face and Targeted Body,Skinfix,Skincare,Treatments,50.0,4.3713,27625,501.0,19.0
P461451,Abeille Royale Anti-Aging Fortifying Lotion Toner,GUERLAIN,Skincare,Cleansers,85.0,4.2566,6480,834.0,32.3
P471226,Vinoperfect Instant Brightening Moisturizer with Niacinamide,Caudalie,Skincare,Moisturizers,65.0,4.3969,19036,703.0,24.7
P431187,Clean Bee Ultra Gentle Facial Cleanser,Farmacy,Skincare,Cleansers,28.0,4.0341,52562,881.0,10.64
P420699,Violet-C Radiance Mask,Tatcha,Skincare,Masks,70.0,4.0507,96300,651.0,26.6
P427393,Hyaluronic Marine Dew It Right Eye Gel,Dr. Dennis Gross Skincare,Skincare,Eye Care,55.0,3.5442,12365,147.0,20.9
P467123,That Big Screen Moisturizer with Broad Spectrum SPF 30,JLo Beauty,Skincare,Moisturizers,55.0,4.1435,5411,467.0,20.9
P443834,Rosehip Nourishing Night Oil,The INKEY List,Skincare,Moisturizers,11.99,4.1029,34950,175.0,4.56
P470510,Mini The Rich Cream with TFC8 Face Moisturizer,Augustinus Bader,Skincare,Mini Size,92.0,3.6875,10759,32.0,34.96
P453929,Retinol Youth Renewal Night Cream,Murad,Skincare,Moisturizers,88.0,4.6078,21491,334.0,33.44
P479732,Salicylic Acid 2% Anhydrous Solution Pore Clearing Serum,The Ordinary,Skincare,Treatments,7.2,3.8389,109679,329.0,2.74
P504064,Ceramidin Cream-Infused Mask,Dr. Jart+,Skincare,Masks,15.0,4.6324,4288,340.0,5.7
P482694,Mini Water Bank Blue Hyaluronic Cream Moisturizer,LANEIGE,Skincare,Moisturizers,23.0,3.5135,13024,37.0,8.74
P413326,Camellia Gold Spun Lip Balm,Tatcha,Skincare,Lip Balms & Treatments,30.0,4.2806,46733,670.0,11.4
P474942,Refresh in 5,CLINIQUE,Skincare,Value & Gift Sets,25.0,4.6667,12369,9.0,9.5
P428636,Mini The Cleansing Foam,La Mer,Skincare,Cleansers,25.0,3.6087,8063,23.0,9.5
P479688,AHA Peeling Masks,SEPHORA COLLECTION,Skincare,Masks,10.0,3.6923,10299,39.0,3.8
P467038,Retinol Eye Stick,Peace Out,Skincare,Eye Care,28.0,4.2062,136726,1329.0,10.64
P440305,Goat Milk Moisturizing Cleanser,Kate Somerville,Skincare,Cleansers,44.0,4.5575,16803,174.0,16.72
P383054,Do Not Age with Dr. Brandt Transforming Pearl Serum,Dr. Brandt Skincare,Skincare,Treatments,152.0,4.1852,3259,54.0,57.76
P432239,Buttermask Intense Repair Lip Treatment,Kiehl's Since 1851,Skincare,Lip Balms & Treatments,28.0,4.0419,40755,191.0,10.64
P459301,Mini GOOPGLOW 15% Glycolic Acid Overnight Glow Peel,goop,Skincare,Mini Size,45.0,4.255,3228,1196.0,17.1
P502186,Retinol Try Me Kit,Kate Somerville,Skincare,Value & Gift Sets,59.0,3.0,628,2.0,22.42
P501760,Guava Vitamin C Bright-Eye Gel Cream,Glow Recipe,Skincare,Eye Care,38.0,4.5109,72173,914.0,14.44
P429952,Jet Lag Mask,Summer Fridays,Skincare,Masks,49.0,4.0262,245435,4427.0,18.62
P467973,Intensive Eye Renewal Cream with Firming Peptides,Shani Darden Skin Care,Skincare,Eye Care,68.0,4.2087,12224,254.0,25.84
P416825,FAB Skin Lab Retinol Serum 0.25% Pure Concentrate,First Aid Beauty,Skincare,Treatments,58.0,3.9811,24816,159.0,22.04
P500256,Mineral Sunscreen SPF 30,Mario Badescu,Skincare,Sunscreen,28.0,5.0,983,2.0,10.64
P501153,Major Eye Impact Repair + Brighten Skincare Set,Estée Lauder,Skincare,Value & Gift Sets,72.0,4.0,1854,1.0,27.36
P467120,That Hit Single Gel-Cream Cleanser,JLo Beauty,Skincare,Cleansers,39.0,4.0992,6260,363.0,14.82
P504794,After Baume Moisture Barrier Recovery Cream,Glossier,Skincare,Moisturizers,28.0,4.1429,9402,42.0,10.64
P481348,Clinical 0.3% Retinol + 2% Bakuchiol Treatment,Paula's Choice,Skincare,Treatments,62.0,4.8235,13939,170.0,23.56
P504849,Plumping Power Duo,Glow Recipe,Skincare,Value & Gift Sets,54.0,4.8454,12092,97.0,20.52
P504044,Pro-Retinol Megamoisture Face Cream,Josie Maran,Skincare,Moisturizers,54.0,4.7518,3498,278.0,20.52
P470246,Calming Hydration Booster Serum,ROSE Ingleton MD,Skincare,Treatments,70.0,4.7143,2391,21.0,26.6
P476428,Brightening Dark Spot Vitamin C Serum,Hyper Skin,Skincare,Treatments,58.0,4.5664,13429,143.0,22.04
P454018,The Serum Stick: Treatment & Touch Up Balm,Tatcha,Skincare,Treatments,49.0,4.3761,47060,1348.0,18.62
P429675,Hydra Life Balancing Hydration 2 in 1 Sorbet Water,Dior,Skincare,Moisturizers,45.0,3.7692,2966,13.0,17.1
P439672,Rose Quartz Facial Roller,SEPHORA COLLECTION,Skincare,Wellness,22.0,3.7111,29366,135.0,8.36
P500687,Keep It Clean Hydrating Gel Cleanser with Ceramides & 10 Amino Acids,iNNBEAUTY PROJECT,Skincare,Cleansers,26.0,4.5226,7237,155.0,9.88
P475951,Green Tea Hyaluronic Acid Hydrating Serum,innisfree,Skincare,Treatments,30.0,4.5836,41215,365.0,11.4
