plant_id,material_id
FR10,P505041
FR10,P476428
FR10,P389524
FR10,P501516
FR10,P482694
FR10,P409988
FR10,P473260
FR10,P472452
FR10,P482755
FR10,P467120
FR10,P504849
FR10,P442742
FR10,P432863
FR10,P417192
FR10,P461185
FR10,P504127
FR10,P501965
FR10,P500787
FR10,P504364
FR10,P483706
FR10,P504453
FR10,P504789
FR10,P440305
FR10,P480529
FR10,P422275
FR10,P461636
FR10,P478239
FR10,P467123
FR10,P383054
FR10,P429675
FR10,P501696
FR10,P503762
FR10,P476011
FR10,P109911
FR10,P458630
FR10,P469195
FR10,P296439
FR10,P467038
FR10,P502186
FR10,P433125
FR10,P502185
FR10,P439406
FR10,P477822
FR10,P413684
FR10,P152203
FR10,P500445
FR10,P501360
FR10,P470542
FR10,P469197
FR10,P470025
FR10,P432045
FR10,P472817
FR10,P457458
FR10,P434399
FR10,P49848448
FR10,P504281
FR10,P479969
FR10,P470510
FR10,P476430
FR10,P405602
FR10,P91627362
FR10,P462387
FR10,P401771
FR10,P502866
FR10,P500256
FR10,P107319
FR10,P471226
FR10,P470525
FR10,P501493
FR10,P429554
FR10,P392004
FR10,P229406
FR10,P46587789
FR10,P428222
FR10,P457429
FR10,P479830
FR10,P501721
FR10,P375534
FR10,P76000
FR10,P481396
FR10,P477741
FR10,P470246
FR10,P480636
FR10,P476865
FR10,P484052
FR10,P479688
FR10,P504794
FR10,P483678
FR10,P469440
FR10,P456007
FR10,P471101
FR10,P505463
FR10,P467973
FR10,P475951
FR10,P416725
FR10,P454083
FR10,P399503
FR10,P501697
FR10,P504044
FR10,P428636
FR10,P477838
FR10,P418122
FR10,P454941
FR10,P183916
FR10,P500687
FR10,P436757
FR10,P481141
FR10,P463476
FR10,P454018
FR10,P7844
FR10,P505250
FR10,P476550
FR10,P450720
FR10,P483474
FR10,P434410
FR10,P504187
FR10,P269707
FR10,P420019
FR10,P420699
FR10,P455321
FR10,P451225
FR10,P504841
FR10,P413326
FR10,P471076
FR10,P479829
FR10,P395532
FR10,P479732
FR10,P504285
FR10,P162554
FR10,P453929
FR10,P439672
FR10,P444990
FR10,P461451
FR10,P476690
FR10,P435342
FR10,P382378
FR10,P472317
FR10,P427393
FR10,P443834
FR10,P462417
FR10,P475118
FR10,P501284
FR10,P471046
FR10,P469828
FR10,P449342
FR10,P500992
FR10,P504064
FR10,P475981
FR10,P387939
FR10,P501760
FR10,P408218
FR10,P448730
FR10,P482013
FR10,P502068
FR10,P480634
FR10,P501435
UK10,P479969
UK10,P397627
UK10,P476428
UK10,P501153
UK10,P473260
UK10,P484052
UK10,P483706
UK10,P504064
UK10,P439406
UK10,P504453
UK10,P501751
UK10,P450720
UK10,P504789
UK10,P429952
UK10,P480636
UK10,P501721
UK10,P467944
UK10,P501697
UK10,P480634
UK10,P500787
UK10,P500687
UK10,P461451
UK10,P477741
UK10,P457512
UK10,P504127
UK10,P472452
UK10,P476865
UK10,P471101
UK10,P454941
UK10,P477838
UK10,P442742
UK10,P476011
UK10,P434410
UK10,P504841
UK10,P477822
UK10,P476697
UK10,P387939
UK10,P399503
UK10,P454018
UK10,P461636
UK10,P458630
UK10,P470246
UK10,P475951
UK10,P501516
UK10,P471009
UK10,P483474
UK10,P472065
UK10,P462387
UK10,P405602
UK10,P434440
UK10,P479688
UK10,P34402
UK10,P503762
UK10,P475118
UK10,P466426
UK10,P478239
UK10,P152203
UK10,P463476
UK10,P431187
UK10,P459301
UK10,P469197
UK10,P470025
UK10,P296439
UK10,P408218
UK10,P461185
UK10,P470542
UK10,P479830
UK10,P502289
UK10,P375534
UK10,P427393
UK10,P472317
UK10,P435342
UK10,P471076
UK10,P502068
UK10,P505463
UK10,P483678
UK10,P481348
UK10,P448730
UK10,P294018
UK10,P501493
UK10,P49848448
UK10,P479732
UK10,P476671
UK10,P375938
UK10,P76000
UK10,P500992
UK10,P91627362
UK10,P482509
UK10,P472817
UK10,P470510
UK10,P409988
UK10,P162554
UK10,P395532
UK10,P504044
UK10,P457458
UK10,P446816
UK10,P434399
UK10,P467123
UK10,P444990
UK10,P107319
UK10,P482755
UK10,P504849
UK10,P461950
UK10,P468161
UK10,P467038
UK10,P454083
UK10,P449342
UK10,P469440
UK10,P482013
UK10,P54433
UK10,P420019
UK10,P472044
UK10,P379995
UK10,P428636
UK10,P480529
UK10,P431511
UK10,P481370
UK10,P383054
UK10,P481396
UK10,P476550
UK10,P432239
UK10,P422275
UK10,P456975
UK10,P457429
UK10,P504794
UK10,P429554
UK10,P416725
UK10,P470004
UK10,P504187
UK10,P413326
UK10,P480152
UK10,P417312
UK10,P430910
UK10,P456006
UK10,P503206
UK10,P12790
UK10,P477168
UK10,P504364
UK10,P504159
UK10,P501435
UK10,P440305
UK10,P462417
UK10,P502185
UK10,P505250
UK10,P502866
DE10,P433125
DE10,P467038
DE10,P470525
DE10,P455339
DE10,P448730
DE10,P389524
DE10,P387564
DE10,P502185
DE10,P448200
DE10,P503762
DE10,P439672
DE10,P470510
DE10,P502289
DE10,P468161
DE10,P479829
DE10,P434410
DE10,P375534
DE10,P504841
DE10,P502186
DE10,P481370
DE10,P483706
DE10,P417192
DE10,P502252
DE10,P152203
DE10,P387261
DE10,P470542
DE10,P500445
DE10,P484052
