order_id,order_date,plant_id,material_id,channel,quantity,unit_price_usd,discount_pct,units_returned
150980,2025-05-23,US20,P504044,Online,1,54.0,0.1,0
118041,2024-09-17,UK10,P431511,In-Store,1,32.0,0.0,0
120302,2025-01-16,DE10,P439672,In-Store,1,22.0,0.0,0
126488,2024-02-02,DE10,P472317,In-Store,1,25.0,0.0,0
137856,2025-01-02,US10,P49848448,In-Store,2,30.0,0.0,0
115953,2024-04-27,UK10,P49848448,In-Store,1,30.0,0.0,0
143073,2024-06-15,US10,P482013,In-Store,2,150.0,0.0,1
119666,2024-05-11,UK10,P502866,In-Store,1,16.0,0.0,0
130288,2025-06-14,US10,P501696,In-Store,1,34.0,0.0,0
145527,2024-01-28,US20,P479829,Online,1,28.0,0.0,0
140932,2024-03-26,US10,P455321,In-Store,1,55.0,0.0,0
104398,2024-07-11,FR10,P462387,In-Store,1,30.0,0.0,0
153176,2024-12-07,US20,P434399,Online,1,42.0,0.0,0
138363,2024-01-25,US10,P434410,In-Store,1,46.0,0.0,0
155043,2025-06-03,US20,P431511,Online,1,32.0,0.0,0
104353,2025-05-31,FR10,P91627362,In-Store,1,24.0,0.0,0
154129,2025-03-08,US20,P481141,Online,1,55.0,0.0,0
149609,2025-02-28,US20,P432045,Online,1,29.0,0.0,0
113219,2025-03-22,UK10,P399503,In-Store,1,23.0,0.0,0
109082,2024-04-18,FR10,P162554,In-Store,1,50.0,0.0,0
142983,2025-06-13,US10,P420699,In-Store,1,70.0,0.0,0
127572,2025-06-18,DE10,P482755,In-Store,1,36.0,0.0,0
112604,2024-04-16,UK10,P471101,In-Store,1,50.0,0.15,0
136817,2024-04-07,US10,P457429,In-Store,1,14.0,0.2,0
131289,2024-01-22,US10,P456975,In-Store,1,90.0,0.0,1
123357,2025-06-10,DE10,P444990,In-Store,1,22.0,0.15,0
133235,2024-11-18,US10,P183916,In-Store,2,30.0,0.0,0
144751,2025-03-07,US20,P455418,Online,1,48.0,0.0,1
145176,2024-04-03,US20,P397465,Online,1,8.0,0.0,0
150593,2024-07-01,US20,P474942,Online,1,25.0,0.0,0
132799,2024-02-05,US10,P504789,In-Store,1,18.0,0.0,0
106117,2025-04-02,FR10,P484052,In-Store,1,12.0,0.0,0
105808,2024-02-02,FR10,P477741,In-Store,1,32.0,0.0,0
148009,2025-06-18,US20,P432239,Online,2,28.0,0.15,0
165002,2024-06-11,MA10,P378111,In-Store,1,29.0,0.0,0
128696,2024-10-05,US10,P91627362,In-Store,1,24.0,0.0,0
118531,2024-11-05,UK10,P457429,In-Store,1,14.0,0.0,0
129190,2024-06-06,US10,P457512,In-Store,1,55.0,0.0,0
137709,2024-03-22,US10,P6463,In-Store,2,63.0,0.0,0
116997,2025-02-20,UK10,P434399,In-Store,1,42.0,0.0,0
146410,2025-04-13,US20,P500687,Online,1,26.0,0.0,0
159273,2025-05-17,AE10,P467973,Travel Retail,1,68.0,0.0,0
141065,2024-11-24,US10,P471076,In-Store,1,29.0,0.0,0
111028,2025-05-06,FR10,P501435,In-Store,1,27.0,0.0,0
156363,2025-01-18,AE10,P440305,Travel Retail,1,44.0,0.0,0
162830,2025-03-16,AE10,P502185,Travel Retail,1,45.0,0.1,0
129445,2024-10-24,US10,P470246,In-Store,1,70.0,0.1,1
162309,2025-05-25,AE10,P504064,Travel Retail,2,15.0,0.0,0
154223,2025-05-06,US20,P399503,Online,1,23.0,0.0,0
121149,2024-01-02,DE10,P378111,In-Store,2,29.0,0.0,0
158016,2024-08-16,AE10,P12790,Travel Retail,1,38.0,0.0,0
154042,2024-01-18,US20,P375938,Online,1,125.0,0.0,0
149663,2024-07-26,US20,P502866,Online,1,16.0,0.0,0
117138,2024-04-22,UK10,P107319,In-Store,1,29.0,0.0,0
155311,2025-06-20,AE10,P454083,Travel Retail,1,210.0,0.0,0
114273,2025-04-13,UK10,P475118,In-Store,1,32.0,0.0,0
133320,2024-11-29,US10,P503762,In-Store,1,19.0,0.2,1
128032,2024-03-16,DE10,P49848448,In-Store,1,30.0,0.0,0
134499,2024-01-01,US10,P294018,In-Store,1,23.0,0.0,0
105050,2024-05-19,FR10,P392004,In-Store,1,65.0,0.15,0
146781,2024-08-02,US20,P453929,Online,1,88.0,0.0,0
108242,2024-11-02,FR10,P420019,In-Store,1,30.0,0.0,0
134802,2025-03-05,US10,P456007,In-Store,1,13.0,0.0,0
117786,2024-05-14,UK10,P472044,In-Store,2,45.0,0.2,0
125552,2024-09-28,DE10,P405602,In-Store,1,20.0,0.0,1
121863,2024-03-18,DE10,P456006,In-Store,1,16.0,0.0,0
104546,2024-01-11,FR10,P502866,In-Store,1,16.0,0.0,0
101126,2024-08-14,FR10,P500787,In-Store,1,18.0,0.0,0
162067,2024-10-10,AE10,P420699,Travel Retail,1,70.0,0.1,1
157469,2025-04-05,AE10,P481396,Travel Retail,1,42.0,0.0,0
109217,2024-05-24,FR10,P439672,In-Store,1,22.0,0.1,0
117452,2024-02-14,UK10,P454083,In-Store,1,210.0,0.0,0
150263,2025-06-08,US20,P483654,Online,1,40.0,0.0,0
139342,2024-01-03,US10,P474942,In-Store,1,25.0,0.1,0
111067,2024-09-26,UK10,P479969,In-Store,1,24.0,0.0,1
159903,2024-10-13,AE10,P401771,Travel Retail,1,25.0,0.0,0
135881,2025-06-13,US10,P34402,In-Store,1,48.0,0.15,0
127568,2025-03-31,DE10,P482755,In-Store,1,36.0,0.0,0
137573,2024-08-20,US10,P483706,In-Store,1,50.0,0.0,0
153916,2024-10-02,US20,P482509,Online,1,45.0,0.0,0
104192,2024-04-16,FR10,P405602,In-Store,1,20.0,0.0,0
152817,2024-04-23,US20,P475118,Online,1,32.0,0.0,0
137688,2025-06-05,US10,P504364,In-Store,1,64.0,0.0,0
165825,2025-04-29,MA10,P413326,In-Store,1,30.0,0.0,0
103798,2025-05-17,FR10,P434399,In-Store,1,42.0,0.0,0
158468,2024-04-22,AE10,P502186,Travel Retail,1,59.0,0.0,0
118712,2025-03-26,UK10,P416725,In-Store,1,255.0,0.0,1
146897,2024-01-03,US20,P427393,Online,1,55.0,0.1,0
104350,2025-05-19,FR10,P91627362,In-Store,1,24.0,0.0,0
122312,2024-07-16,DE10,P91627362,In-Store,1,24.0,0.0,0
153268,2024-04-19,US20,P505250,Online,1,62.0,0.0,0
111196,2024-11-07,UK10,P476428,In-Store,1,58.0,0.0,0
149787,2025-06-26,US20,P446816,Online,1,25.0,0.0,0
125316,2024-09-23,DE10,P401771,In-Store,1,25.0,0.0,0
162105,2024-03-25,AE10,P109911,Travel Retail,1,33.0,0.0,0
165201,2025-04-11,MA10,P469197,In-Store,1,30.0,0.0,0
136585,2024-10-25,US10,P501760,In-Store,3,38.0,0.0,0
117128,2024-02-21,UK10,P107319,In-Store,1,29.0,0.0,0
153448,2025-02-24,US20,P401771,Online,1,25.0,0.0,0
141368,2025-05-21,US10,P481141,In-Store,1,55.0,0.15,0
142464,2024-02-12,US10,P461636,In-Store,1,11.0,0.0,0
144271,2024-09-13,US20,P467973,Online,1,68.0,0.0,0
155027,2025-03-21,US20,P431511,Online,1,32.0,0.0,0
153690,2025-06-01,US20,P473145,Online,1,70.0,0.0,0
158734,2024-11-19,AE10,P481370,Travel Retail,1,22.0,0.0,0
151399,2024-06-21,US20,P480636,Online,1,15.99,0.1,0
129703,2025-01-30,US10,P152203,In-Store,1,16.0,0.0,0
160708,2025-01-02,AE10,P417312,Travel Retail,1,24.0,0.1,0
111838,2025-06-21,UK10,P429952,In-Store,1,49.0,0.0,0
164995,2024-03-09,MA10,P378111,In-Store,1,29.0,0.0,0
120913,2025-01-14,DE10,P387261,In-Store,1,60.0,0.0,0
142255,2025-02-07,US10,P479829,In-Store,1,28.0,0.1,0
124502,2024-05-01,DE10,P183916,In-Store,1,30.0,0.0,0
109652,2025-05-03,FR10,P472317,In-Store,2,25.0,0.0,0
115528,2025-04-30,UK10,P435342,In-Store,1,75.0,0.0,0
104430,2025-01-21,FR10,P462387,In-Store,1,30.0,0.0,0
127219,2024-07-29,DE10,P469439,In-Store,1,16.0,0.0,0
139671,2024-07-20,US10,P482755,In-Store,1,36.0,0.0,0
141041,2024-08-22,US10,P471076,In-Store,1,29.0,0.0,0
128307,2024-10-25,DE10,P443834,In-Store,1,11.99,0.2,0
119561,2024-09-29,UK10,P502185,In-Store,1,45.0,0.0,0
160223,2024-03-26,AE10,P501751,Travel Retail,1,120.0,0.0,0
100783,2024-06-28,FR10,P432863,In-Store,1,53.0,0.0,0
107035,2024-02-28,FR10,P428636,In-Store,2,25.0,0.1,0
138669,2024-11-10,US10,P470525,In-Store,1,40.0,0.15,0
115659,2025-01-23,UK10,P502068,In-Store,1,12.0,0.0,0
147873,2025-04-17,US20,P501284,Online,1,28.0,0.0,0
122664,2024-09-07,DE10,P476671,In-Store,1,28.0,0.0,0
108492,2024-10-28,FR10,P451225,In-Store,1,28.0,0.2,0
117243,2024-03-09,UK10,P504849,In-Store,1,54.0,0.0,0
143634,2024-03-12,US10,P500687,In-Store,1,26.0,0.0,0
123085,2024-01-29,DE10,P471226,In-Store,1,65.0,0.0,0
123082,2025-06-09,DE10,P422275,In-Store,1,26.0,0.0,0
116325,2024-06-20,UK10,P91627362,In-Store,1,24.0,0.0,0
135879,2025-05-31,US10,P34402,In-Store,1,48.0,0.15,0
150729,2025-01-14,US20,P444990,Online,1,22.0,0.0,0
147691,2024-06-30,US20,P6463,Online,1,63.0,0.0,0
122988,2024-06-01,DE10,P461185,In-Store,1,35.0,0.0,0
103826,2024-04-20,FR10,P49848448,In-Store,1,30.0,0.0,0
