movement_id,movement_date,plant_id,material_id,movement_type,quantity
25574,11/24/2024,DE10,P461185,601_GOODS_ISSUE_SALE,-1.0
31730,14.04.2024, US10,P467973,GI Sale,-1.0
12451,05/11/2024,FR10,P408218,601_GOODS_ISSUE_SALE,-1.0
92416,11/04/2024, US10,P500445,101,2.0
33502,25-Dec-2024,us10,P504064,651,1.0
98049,2024-04-22, AE10,P467123,Goods Receipt,1.0
42465,04/04/2024,us10,P472317,601_GOODS_ISSUE_SALE,-1.0
27107,14-May-2024,DE10 ,P482694,601,-1.0
54483,2024-01-06, US20,P472317,601,
29438,07.10.2024, DE10,P429675,Goods Issue,-1.0
11248,05/20/2025, FR10,P435342,601,-1.0
24684,2024-12-25,DE10,P468353,601_GOODS_ISSUE_SALE,
104544,2024-05-06,MA10,P229406,Goods Receipt,1.0
5411,10/28/2024,FR10,P479969,601_GOODS_ISSUE_SALE,-1.0
29227,2024-07-06, DE10,P382378,GI Sale,-1.0
7416,06/29/2025, FR10,P470246,Goods Issue,-2.0
36498,07-May-2024,US10 ,P503762,601,-1.0
2372,2024-10-24,FR10,P500787,651_CUSTOMER_RETURN,1.0
16976,08/02/2024,UK10,P408218,601_GOODS_ISSUE_SALE,-1.0
2104,2024-08-12,FR10 ,P461185,601_GOODS_ISSUE_SALE,-1.0
49095,02/16/2024, US20,P397465,Goods Issue,-1.0
64438,30-May-2025,ae10,P442742,GI Sale,-1.0
70550,06-Jan-2024,ma10,P428636,Goods Issue,-1.0
15255,13.03.2024,uk10,P461636,601,-2.0
41046,10/04/2024,us10,P483706,601_GOODS_ISSUE_SALE,-1.0
94033,2025-04-07,US20 ,P427393,101,4.0
44663,27-Feb-2025, US10,P455321,601,-1.0
91141,05/20/2024, US10,P434399,101_GOODS_RECEIPT,5.0
78471,2024-12-16,uk10,P431187,Goods Receipt,1.0
66695,10-Nov-2024,AE10,P504794,601_GOODS_ISSUE_SALE,-1.0
14112,01-Jun-2024, UK10,P500687,GI Sale,-1.0
55706,2025-01-15,US20,P480636,601_GOODS_ISSUE_SALE,-1.0
9051,16-Jun-2025,fr10,P500687,Goods Issue,-1.0
29714,23-Aug-2024,DE10 ,P76000,Goods Issue,-1.0
34784,01.04.2025,us10,P469440,Goods Issue,-1.0
93120,11.03.2024,us20,P436757,101_GOODS_RECEIPT,3.0
88768,03/10/2025,us10,P500256,GR,3.0
34628,2024-09-27,us10,P408218,Return,1.0
21134,03/13/2025, UK10,P413326,601,-1.0
71443,2025-06-12,MA10 ,P461185,Goods Issue,-1.0
86513,07-Apr-2025,us10,P467944,101_GOODS_RECEIPT,
26979,28.01.2025,DE10,P450720,GI Sale,-1.0
12734,02.06.2024,fr10,P480634,Goods Issue,-1.0
96889,2024-10-07,US20,P457458,GR,3.0
76545,2024-07-29,FR10,P482013,101,1.0
20529,26-Jul-2024,UK10 ,P476550,GI Sale,-1.0
72950,18.11.2024,FR10 ,P477822,Goods Receipt,3.0
52677,27.02.2025, US20,P457512,601,-1.0
60745,29-Jul-2024,ae10,P413684,601_GOODS_ISSUE_SALE,-1.0
105011,11/18/2024,ma10,P392004,Goods Receipt,1.0
29492,04/23/2024,de10,P454941,Goods Issue,-1.0
24558,03/18/2025, DE10,P457429,601,-1.0
94898,17.06.2024,US20,P294018,101,1.0
101785,07/15/2024,AE10 ,P434440,101,1.0
33995,2025-03-08,US10 ,P475951,651_CUSTOMER_RETURN,1.0
70925,06/29/2025,MA10,P483474,Customer Return,1.0
92271,09-Sep-2024,us10,P482694,Goods Receipt,3.0
49335,2024-12-06,us20,P413326,GI Sale,-1.0
103062,2024-10-21,MA10,P420019,Goods Receipt,2.0
60894,2024-03-04,AE10,P469195,Goods Issue,-1.0
28009,2024-06-06, DE10,P401771,GI Sale,-1.0
11412,2024-06-20,FR10,P427393,Goods Issue,-1.0
93145,26.02.2024, US20,P476430,101_GOODS_RECEIPT,1.0
53917,2024-07-10,us20,P446816,Goods Issue,-1.0
70661,13-Apr-2024,ma10,P479969,601_GOODS_ISSUE_SALE,-1.0
59791,12-Feb-2024,AE10,P504044,601,-1.0
16638,20.03.2025,UK10 ,P431187,GI Sale,-1.0
70416,05/01/2025,MA10,P477822,Goods Issue,-1.0
27807,14-Dec-2024,DE10 ,P480529,601,-1.0
105258,03-Jun-2024,MA10,P469439,GR,2.0
23364,06/02/2025,de10,P387261,601_GOODS_ISSUE_SALE,-1.0
98228,06.05.2024,AE10 ,P473185,Goods Receipt,1.0
36139,2025-03-18,US10 ,P472452,601_GOODS_ISSUE_SALE,-1.0
15155,26-Jan-2025,UK10,P399503,GI Sale,-1.0
100254,12/30/2024,ae10,P450720,101_GOODS_RECEIPT,3.0
77903,03/11/2024,UK10,P470246,101,4.0
55166,12/08/2024,US20 ,P479830,601,-1.0
74425,04/22/2024, FR10,P504794,101,2.0
15572,2024-04-06,uk10,P471009,601_GOODS_ISSUE_SALE,-1.0
41489,04/28/2024,US10 ,P389524,GI Sale,-1.0
734,12/31/2023, US20,P502068,000,3.0
96187,21-Apr-2025,US20 ,P469828,Goods Receipt,3.0
5739,29-Mar-2025,FR10 ,P91627362,601_GOODS_ISSUE_SALE,-1.0
48300,20-Nov-2024,US20 ,P183916,GI Sale,-1.0
55625,17.01.2025, US20,P470025,Customer Return,1.0
33633,17.05.2025,US10 ,P483474,Goods Issue,-1.0
2362,2024-08-22, FR10,P500787,601_GOODS_ISSUE_SALE,-1.0
99795,03/10/2025,AE10 ,P504159,101_GOODS_RECEIPT,1.0
77038,04/07/2025,uk10,P504789,101_GOODS_RECEIPT,2.0
1978,21-Feb-2024, FR10,P432863,Goods Issue,-1.0
59420,14.06.2024,US20 ,P458630,Goods Issue,-1.0
36694,27-Aug-2024, US10,P502185,601,-1.0
22388,2024-02-14,DE10,P448730,Goods Issue,-1.0
44894,2025-06-10, US10,P476690,Goods Issue,-1.0
78035,10/07/2024,UK10 ,P483474,101,4.0
63712,12/12/2024, AE10,P476671,601_GOODS_ISSUE_SALE,-2.0
