order_id,order_date,plant_id,material_id,channel,quantity,unit_price_usd,discount_pct,product_category,units_returned
150980,23-May-2025,us20,P504044,Online,1,54.0,0.1,Skincare,0
118041,09/17/2024,UK10 ,P431511,IN-STORE,1,32.0,0.0,Makeup,0
120302,01/16/2025,DE10,P439672,IN-STORE,1,22.0,0.0,Skincare,0
126488,02/02/2024,DE10,P472317,IN-STORE,1,25.0,0.0,Makeup,0
137856,2025-01-02,US10 ,P49848448,IN-STORE,2,30.0,0.0,Makeup,0
115953,2024-04-27, UK10,P49848448,IN-STORE,1,30.0,0.0,Makeup,0
143073,15.06.2024,US10,P482013,in-store,2,150.0,0.0,Fragrance,1
119666,11-May-2024, UK10,P502866,Store,1,16.0,0.0,Makeup,0
130288,06/14/2025,US10,P501696,Store,1,34.0,0.0,Fragrance,0
145527,28-Jan-2024,us20,P479829,Online,1,28.0,0.0,Hair,0
140932,03/26/2024,US10 ,P455321,in-store,1,55.0,0.0,Makeup,0
104398,07/11/2024,FR10 ,P462387,IN-STORE,1,30.0,0.0,Hair,0
153176,2024-12-07, US20,P434399,Web,1,42.0,,Hair,0
138363,2024-01-25,us10,P434410,in-store,1,46.0,0.0,Hair,0
155043,03.06.2025,us20,P431511,Online,1,32.0,0.0,Makeup,0
104353,31.05.2025,FR10 ,P91627362,in-store,1,24.0,,Skincare,0
154129,08-Mar-2025,US20 ,P481141,online,1,55.0,,Hair,0
149609,02/28/2025,us20,P432045,online,1,29.0,0.0,Skincare,0
113219,22-Mar-2025,UK10,P399503,IN-STORE,1,23.0,,Makeup,0
109082,04/18/2024,fr10,P162554,IN-STORE,1,50.0,0.0,Bath & Body,0
142983,2025-06-13,US10 ,P420699,Store,1,70.0,0.0,Skincare,0
127572,18.06.2025,de10,P482755,in-store,1,36.0,0.0,Skincare,0
112604,04/16/2024, UK10,P471101,in-store,1,50.0,0.15,Skincare,0
136817,2024-04-07,US10,P457429,IN-STORE,1,14.0,0.2,Makeup,0
131289,01/22/2024,US10,P456975,in-store,1,90.0,0.0,Fragrance,1
123357,06/10/2025,DE10,P444990,In-Store,1,22.0,0.15,Skincare,0
133235,2024-11-18, US10,P183916,in-store,2,30.0,0.0,Makeup,0
144751,2025-03-07,US20,P455418,Online,1,48.0,0.0,Makeup,1
145176,03.04.2024,US20,P397465,Web,1,8.0,0.0,Skincare,0
150593,2024-07-01,US20,P474942,online,1,25.0,0.0,Skincare,0
132799,05-Feb-2024,us10,P504789,in-store,1,18.0,0.0,Makeup,0
106117,02-Apr-2025,FR10,P484052,Store,1,12.0,0.0,Bath & Body,0
105808,02/02/2024, FR10,P477741,Store,1,32.0,0.0,Hair,0
148009,18-Jun-2025,US20,P432239,Web,2,28.0,0.15,Skincare,0
165002,11-Jun-2024,MA10,P378111,In-Store,1,$29.00,0.0,Makeup,0
128696,10/05/2024,US10,P91627362,in-store,1,24.0,0.0,Skincare,0
118531,2024-11-05,UK10 ,P457429,in-store,1,14.0,0.0,Makeup,0
129190,06/06/2024, US10,P457512,IN-STORE,1,55.0,0.0,Skincare,0
137709,03/22/2024, US10,P6463,Store,2,63.0,0.0,Fragrance,0
116997,20-Feb-2025,UK10 ,P434399,IN-STORE,1,42.0,,Hair,0
146410,13.04.2025,us20,P500687,Web,1,26.0,0.0,Skincare,0
159273,17.05.2025,AE10,P467973,TR,1,68.0,0.0,Skincare,0
141065,24.11.2024,us10,P471076,Store,1,29.0,0.0,Makeup,0
