order_id,order_date,plant_id,material_id,channel_x,quantity,unit_price_usd,discount_pct,units_returned,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd,country,region,channel_y,net_revenue,year_month,discount_band
150980,2025-05-23,US20,P504044,Online,1,54.0,0.1,0,Pro-Retinol Megamoisture Face Cream,Josie Maran,Skincare,Moisturizers,54.0,4.7518,3498,278.0,20.52,United States,Americas,Online Fulfillment,48.6,2025-05,Light (<=10%)
118041,2024-09-17,UK10,P431511,In-Store,1,32.0,0.0,0,L'Absolu Lacquer Long-Lasting Liquid Lipstick,Lancôme,Makeup,Lip,32.0,4.2708,71038,1252.0,13.44,United Kingdom,Europe,Retail,32.0,2024-09,No discount
120302,2025-01-16,DE10,P439672,In-Store,1,22.0,0.0,0,Rose Quartz Facial Roller,SEPHORA COLLECTION,Skincare,Wellness,22.0,3.7111,29366,135.0,8.36,Germany,Europe,Retail,22.0,2025-01,No discount
126488,2024-02-02,DE10,P472317,In-Store,1,25.0,0.0,0,The One & Done Volumizing Mascara,LAWLESS,Makeup,Eye,25.0,4.1337,7947,359.0,10.5,Germany,Europe,Retail,25.0,2024-02,No discount
137856,2025-01-02,US10,P49848448,In-Store,2,30.0,0.0,0,Liquid Touch Weightless Foundation,Rare Beauty by Selena Gomez,Makeup,Face,30.0,4.0332,263393,5186.0,12.6,United States,Americas,Retail,60.0,2025-01,No discount
115953,2024-04-27,UK10,P49848448,In-Store,1,30.0,0.0,0,Liquid Touch Weightless Foundation,Rare Beauty by Selena Gomez,Makeup,Face,30.0,4.0332,263393,5186.0,12.6,United Kingdom,Europe,Retail,30.0,2024-04,No discount
143073,2024-06-15,US10,P482013,In-Store,2,150.0,0.0,1,Sea Daffodil Cologne,Jo Malone London,Fragrance,Women,150.0,3.75,6731,28.0,45.0,United States,Americas,Retail,300.0,2024-06,No discount
119666,2024-05-11,UK10,P502866,In-Store,1,16.0,0.0,0,Disney Fantasia and ONE/SIZE Ultimate Mickey Puff,ONE/SIZE by Patrick Starrr,Makeup,Brushes & Applicators,16.0,4.3333,11246,6.0,6.72,United Kingdom,Europe,Retail,16.0,2024-05,No discount
130288,2025-06-14,US10,P501696,In-Store,1,34.0,0.0,0,"002 Neroli, Jasmine and White Amber Eau de Parfum Travel Spray",Bon Parfumeur,Fragrance,Women,34.0,5.0,836,2.0,10.2,United States,Americas,Retail,34.0,2025-06,No discount
145527,2024-01-28,US20,P479829,Online,1,28.0,0.0,0,The Bond-Building Repair Trio,Bumble and bumble,Hair,Value & Gift Sets,28.0,3.8571,4488,14.0,12.6,United States,Americas,Online Fulfillment,28.0,2024-01,No discount
140932,2024-03-26,US10,P455321,In-Store,1,55.0,0.0,0,Luxury Eyeshadow Palette - Pillow Talk Collection,Charlotte Tilbury,Makeup,Eye,55.0,3.9418,67767,773.0,23.1,United States,Americas,Retail,55.0,2024-03,No discount
